OriginalRecipeName: aaa.rcp

TotalStep,RcpType,StepGrpBgn,StepGrpEnd,StepGrpCyc,IdleStopBegin,KeepLastCon,Thickness
L06-V02,0,0,0,0,0,0,0
L06-V03,0,0,0,0,0,0,0
L06-V04,0,0,0,0,0,0,0
L06-V05,0,0,0,0,0,0,0
L06-V06,0,0,0,0,0,0,0
L06-V07,0,0,0,0,0,0,0
L06-V08,0,0,0,0,0,0,0
L06-V09,0,0,0,0,0,0,0
L06-V10,0,0,0,0,0,0,0
L06-V11,0,0,0,0,0,0,0
L06-V12,0,0,0,0,0,0,0
L06-V13,0,0,0,0,0,0,0
L06-V14,0,0,0,0,0,0,0
L06-V15,0,0,0,0,0,0,0
L06-V16,0,0,0,0,0,0,0
L06-V17,0,0,0,0,0,0,0
L06-V18,0,0,0,0,0,0,0
L06-V19,0,0,0,0,0,0,0
L06-V20,0,0,0,0,0,0,0
L06-V21,0,0,0,0,0,0,0
